发票号,超市,所在城市,客户类型,客户性别,商品类别,单价,购买数量,税额,总价,购买时间,支付方式,销售成本,毛利,客户满意度,交易时间,交易日,交易月,交易年,交易小时,经度,纬度
162-48-8011,A,仰光,会员,女性,饮食,44.59,5,11.1475,234.0975,15:10,现金,222.95,11.1475,8.5,2019-02-10,10,2,2019,15,16.8661,96.1951
616-24-2851,B,曼德勒,会员,女性,时尚配饰,17.87,4,3.574,75.054,14:42,电子钱包,71.48,3.574,6.5,2019-03-22,22,3,2019,14,21.9588,96.0891
778-71-5554,C,内比都,会员,男性,时尚配饰,15.43,1,0.7715,16.2015,15:46,信用卡,15.43,0.7715,6.1,2019-01-25,25,1,2019,15,19.7633,96.0785
242-55-6721,B,曼德勒,非会员,男性,生活家居,16.16,2,1.6159999999999999,33.936,11:49,电子钱包,32.32,1.6159999999999999,6.5,2019-03-07,7,3,2019,11,21.9588,96.0891
399-46-5918,C,内比都,非会员,女性,电子配件,85.98,8,34.391999999999996,722.232,19:01,现金,687.84,34.391999999999996,8.2,2019-02-28,28,2,2019,19,19.7633,96.0785
106-35-6779,A,仰光,会员,男性,生活家居,44.34,2,4.434,93.11399999999999,11:26,现金,88.68,4.434,5.8,2019-03-27,27,3,2019,11,16.8661,96.1951
635-40-6220,A,仰光,非会员,男性,健康与美容,89.6,8,35.84,752.64,11:28,电子钱包,716.8,35.84,6.6,2019-02-07,7,2,2019,11,16.8661,96.1951
817-48-8732,A,仰光,会员,女性,生活家居,72.35,10,36.175,759.675,15:55,现金,723.5,36.175,5.4,2019-01-20,20,1,2019,15,16.8661,96.1951
120-06-4233,C,内比都,非会员,男性,电子配件,30.61,6,9.183,192.843,20:36,现金,183.66,9.183,9.3,2019-03-12,12,3,2019,20,19.7633,96.0785
285-68-5083,C,内比都,会员,女性,运动与旅行,24.74,3,3.7110000000000003,77.931,17:47,信用卡,74.22,3.7110000000000003,10.0,2019-02-15,15,2,2019,17,19.7633,96.0785
803-83-5989,C,内比都,非会员,男性,生活家居,55.73,6,16.719,351.099,10:55,电子钱包,334.38,16.719,7.0,2019-02-24,24,2,2019,10,19.7633,96.0785
347-34-2234,B,曼德勒,会员,女性,运动与旅行,55.07,9,24.7815,520.4115,13:40,电子钱包,495.63,24.7815,10.0,2019-02-03,3,2,2019,13,21.9588,96.0891
199-75-8169,A,仰光,会员,男性,运动与旅行,15.81,10,7.905,166.005,12:27,信用卡,158.1,7.905,8.6,2019-03-06,6,3,2019,12,16.8661,96.1951
853-23-2453,B,曼德勒,会员,男性,健康与美容,75.74,4,15.148,318.108,14:35,现金,302.96,15.148,7.6,2019-02-14,14,2,2019,14,21.9588,96.0891
877-22-3308,A,仰光,会员,男性,健康与美容,15.87,10,7.935,166.635,16:40,现金,158.7,7.935,5.8,2019-03-13,13,3,2019,16,16.8661,96.1951
838-78-4295,C,内比都,非会员,女性,健康与美容,33.47,2,3.347,70.28699999999999,15:43,电子钱包,66.94,3.347,6.7,2019-02-10,10,2,2019,15,19.7633,96.0785
109-28-2512,B,曼德勒,会员,女性,时尚配饰,97.61,6,29.283,614.943,15:01,电子钱包,585.66,29.283,9.9,2019-01-07,7,1,2019,15,21.9588,96.0891
232-11-3025,A,仰光,非会员,男性,运动与旅行,78.77,10,39.385,827.085,10:04,现金,787.7,39.385,6.4,2019-01-24,24,1,2019,10,16.8661,96.1951
382-03-4532,A,仰光,会员,女性,健康与美容,18.33,1,0.9165,19.2465,18:50,现金,18.33,0.9165,4.3,2019-02-02,2,2,2019,18,16.8661,96.1951
393-65-2792,C,内比都,非会员,男性,饮食,89.48,10,44.74,939.54,12:46,信用卡,894.8,44.74,9.6,2019-01-06,6,1,2019,12,19.7633,96.0785
796-12-2025,C,内比都,非会员,男性,时尚配饰,62.12,10,31.06,652.26,16:19,现金,621.2,31.06,5.9,2019-02-11,11,2,2019,16,19.7633,96.0785
510-95-6347,B,曼德勒,会员,女性,饮食,48.52,3,7.278,152.838,18:17,电子钱包,145.56,7.278,4.0,2019-03-05,5,3,2019,18,21.9588,96.0891
841-35-6630,C,内比都,非会员,女性,电子配件,75.91,6,22.773000000000003,478.233,18:21,现金,455.46,22.773000000000003,8.7,2019-03-09,9,3,2019,18,19.7633,96.0785
287-21-9091,A,仰光,非会员,男性,生活家居,74.67,9,33.6015,705.6315,10:55,电子钱包,672.03,33.6015,9.4,2019-01-22,22,1,2019,10,16.8661,96.1951
732-94-0499,C,内比都,非会员,女性,电子配件,41.65,10,20.825,437.325,17:04,信用卡,416.5,20.825,5.4,2019-01-13,13,1,2019,17,19.7633,96.0785
263-10-3913,C,内比都,会员,男性,时尚配饰,49.04,9,22.068,463.42800000000005,14:20,信用卡,441.36,22.068,8.6,2019-01-09,9,1,2019,14,19.7633,96.0785
381-20-0914,A,仰光,会员,女性,时尚配饰,20.01,9,9.0045,189.0945,15:48,信用卡,180.09,9.0045,5.7,2019-01-12,12,1,2019,15,16.8661,96.1951
829-49-1914,C,内比都,会员,女性,饮食,78.31,10,39.155,822.255,16:24,电子钱包,783.1,39.155,6.6,2019-03-05,5,3,2019,16,19.7633,96.0785
756-01-7507,C,内比都,非会员,女性,健康与美容,20.38,5,5.095,106.995,18:56,现金,101.9,5.095,6.0,2019-01-22,22,1,2019,18,19.7633,96.0785
870-72-4431,C,内比都,非会员,女性,健康与美容,99.19,6,29.756999999999998,624.8969999999999,14:42,信用卡,595.14,29.756999999999998,5.5,2019-01-21,21,1,2019,14,19.7633,96.0785
847-38-7188,B,曼德勒,非会员,女性,饮食,96.68,3,14.502,304.54200000000003,19:56,电子钱包,290.04,14.502,6.4,2019-01-26,26,1,2019,19,21.9588,96.0891
480-63-2856,C,内比都,非会员,男性,饮食,19.25,8,7.7,161.7,18:37,电子钱包,154.0,7.7,6.6,2019-01-23,23,1,2019,18,19.7633,96.0785
787-56-0757,C,内比都,会员,女性,饮食,80.36,4,16.072,337.51199999999994,18:45,信用卡,321.44,16.072,8.3,2019-02-23,23,2,2019,18,19.7633,96.0785
360-39-5055,C,内比都,会员,男性,运动与旅行,48.91,5,12.2275,256.7775,10:17,现金,244.55,12.2275,6.6,2019-03-09,9,3,2019,10,19.7633,96.0785
730-50-9884,C,内比都,非会员,女性,运动与旅行,83.06,7,29.070999999999998,610.491,14:31,电子钱包,581.42,29.070999999999998,4.0,2019-03-05,5,3,2019,14,19.7633,96.0785
362-58-8315,C,内比都,非会员,男性,时尚配饰,76.52,5,19.13,401.73,10:23,现金,382.6,19.13,9.9,2019-03-25,25,3,2019,10,19.7633,96.0785
633-44-8566,A,仰光,会员,男性,饮食,49.38,7,17.283,362.94300000000004,20:35,信用卡,345.66,17.283,7.3,2019-03-27,27,3,2019,20,16.8661,96.1951
504-35-8843,A,仰光,非会员,男性,运动与旅行,42.47,1,2.1235,44.5935,16:57,现金,42.47,2.1235,5.7,2019-01-02,2,1,2019,16,16.8661,96.1951
318-68-5053,B,曼德勒,非会员,女性,健康与美容,76.99,6,23.096999999999998,485.037,17:55,现金,461.94,23.096999999999998,6.1,2019-02-27,27,2,2019,17,21.9588,96.0891
565-80-5980,C,内比都,会员,女性,生活家居,47.38,4,9.476,198.99599999999998,10:25,现金,189.52,9.476,7.1,2019-01-23,23,1,2019,10,19.7633,96.0785
225-32-0908,C,内比都,非会员,女性,运动与旅行,44.86,10,22.43,471.03,19:54,电子钱包,448.6,22.43,8.2,2019-01-26,26,1,2019,19,19.7633,96.0785
873-51-0671,A,仰光,会员,女性,运动与旅行,21.98,7,7.693,161.553,16:42,电子钱包,153.86,7.693,5.1,2019-01-10,10,1,2019,16,16.8661,96.1951
152-08-9985,B,曼德勒,会员,男性,健康与美容,64.36,9,28.962,608.202,12:09,信用卡,579.24,28.962,8.6,2019-03-12,12,3,2019,12,21.9588,96.0891
512-91-0811,C,内比都,非会员,男性,健康与美容,89.75,1,4.4875,94.2375,20:05,信用卡,89.75,4.4875,6.6,2019-02-06,6,2,2019,20,19.7633,96.0785
594-34-4444,A,仰光,非会员,男性,电子配件,97.16,1,4.8580000000000005,102.01799999999999,20:38,电子钱包,97.16,4.8580000000000005,7.2,2019-03-08,8,3,2019,20,16.8661,96.1951
766-85-7061,B,曼德勒,非会员,男性,健康与美容,87.87,10,43.935,922.635,10:25,电子钱包,878.7,43.935,5.1,2019-03-29,29,3,2019,10,21.9588,96.0891
871-39-9221,C,内比都,非会员,女性,电子配件,12.45,6,3.735,78.435,13:11,现金,74.7,3.735,4.1,2019-02-09,9,2,2019,13,19.7633,96.0785
865-92-6136,A,仰光,非会员,男性,饮食,52.75,3,7.9125,166.1625,10:16,电子钱包,158.25,7.9125,9.3,2019-03-23,23,3,2019,10,16.8661,96.1951
733-01-9107,B,曼德勒,非会员,男性,生活家居,82.7,6,24.81,521.01,18:14,现金,496.2,24.81,7.4,2019-03-05,5,3,2019,18,21.9588,96.0891
163-56-7055,C,内比都,会员,男性,时尚配饰,48.71,1,2.4355,51.1455,19:20,现金,48.71,2.4355,4.1,2019-03-26,26,3,2019,19,19.7633,96.0785
189-98-2939,C,内比都,非会员,男性,时尚配饰,78.55,9,35.3475,742.2975,13:22,现金,706.95,35.3475,7.2,2019-03-01,1,3,2019,13,19.7633,96.0785
551-21-3069,C,内比都,非会员,女性,电子配件,23.07,9,10.3815,218.0115,11:27,现金,207.63,10.3815,4.9,2019-02-01,1,2,2019,11,19.7633,96.0785
212-62-1842,A,仰光,非会员,男性,饮食,58.26,6,17.477999999999998,367.038,16:44,现金,349.56,17.477999999999998,9.9,2019-03-28,28,3,2019,16,16.8661,96.1951
716-39-1409,B,曼德勒,非会员,男性,健康与美容,30.35,7,10.6225,223.0725,18:19,现金,212.45,10.6225,8.0,2019-03-19,19,3,2019,18,21.9588,96.0891
704-48-3927,A,仰光,会员,男性,电子配件,88.67,10,44.335,931.035,14:50,电子钱包,886.7,44.335,7.3,2019-01-12,12,1,2019,14,16.8661,96.1951
628-34-3388,C,内比都,非会员,男性,时尚配饰,27.38,6,8.214,172.49400000000003,20:54,信用卡,164.28,8.214,7.9,2019-01-05,5,1,2019,20,19.7633,96.0785
630-74-5166,A,仰光,非会员,男性,运动与旅行,62.13,6,18.639,391.41900000000004,20:19,现金,372.78,18.639,7.4,2019-03-22,22,3,2019,20,16.8661,96.1951
588-01-7461,C,内比都,非会员,女性,饮食,33.98,9,15.290999999999999,321.111,10:43,现金,305.82,15.290999999999999,4.2,2019-03-24,24,3,2019,10,19.7633,96.0785
861-77-0145,C,内比都,会员,男性,电子配件,81.97,10,40.985,860.685,14:30,现金,819.7,40.985,9.2,2019-03-03,3,3,2019,14,19.7633,96.0785
479-26-8945,B,曼德勒,会员,女性,运动与旅行,16.49,2,1.649,34.629,11:32,电子钱包,32.98,1.649,4.6,2019-02-05,5,2,2019,11,21.9588,96.0891
210-67-5886,C,内比都,会员,女性,健康与美容,98.21,3,14.7315,309.3615,10:41,信用卡,294.63,14.7315,7.8,2019-02-05,5,2,2019,10,19.7633,96.0785
227-78-1148,B,曼德勒,非会员,女性,时尚配饰,72.84,7,25.494,535.374,12:44,现金,509.88,25.494,8.4,2019-02-15,15,2,2019,12,21.9588,96.0891
645-44-1170,A,仰光,会员,男性,生活家居,58.07,9,26.1315,548.7615,20:07,电子钱包,522.63,26.1315,4.3,2019-01-19,19,1,2019,20,16.8661,96.1951
237-01-6122,C,内比都,会员,女性,生活家居,80.79,9,36.3555,763.4655,20:31,信用卡,727.11,36.3555,9.5,2019-02-01,1,2,2019,20,19.7633,96.0785
225-98-1496,C,内比都,非会员,女性,时尚配饰,27.02,3,4.053,85.113,13:01,信用卡,81.06,4.053,7.1,2019-03-02,2,3,2019,13,19.7633,96.0785
291-32-1427,B,曼德勒,会员,男性,时尚配饰,21.94,5,5.485,115.185,12:29,电子钱包,109.7,5.485,5.3,2019-03-05,5,3,2019,12,21.9588,96.0891
659-65-8956,B,曼德勒,会员,男性,时尚配饰,51.36,1,2.568,53.928000000000004,15:26,电子钱包,51.36,2.568,5.2,2019-01-16,16,1,2019,15,21.9588,96.0891
642-32-2990,A,仰光,非会员,女性,饮食,10.96,10,5.48,115.08,20:48,电子钱包,109.6,5.48,6.0,2019-02-02,2,2,2019,20,16.8661,96.1951
378-24-2715,B,曼德勒,非会员,男性,生活家居,53.44,2,5.343999999999999,112.22399999999999,20:38,电子钱包,106.88,5.343999999999999,4.1,2019-01-20,20,1,2019,20,21.9588,96.0891
638-60-7125,A,仰光,非会员,女性,电子配件,99.56,8,39.824,836.304,17:03,信用卡,796.48,39.824,5.2,2019-02-14,14,2,2019,17,16.8661,96.1951
659-36-1684,C,内比都,会员,男性,运动与旅行,57.12,7,19.992,419.832,12:02,信用卡,399.84,19.992,6.5,2019-01-12,12,1,2019,12,19.7633,96.0785
219-22-9386,B,曼德勒,会员,男性,运动与旅行,99.96,9,44.982,944.622,17:26,信用卡,899.64,44.982,4.2,2019-03-09,9,3,2019,17,21.9588,96.0891
336-78-2147,C,内比都,会员,男性,生活家居,63.91,8,25.564,536.844,19:52,信用卡,511.28,25.564,4.6,2019-03-13,13,3,2019,19,19.7633,96.0785
268-27-6179,B,曼德勒,会员,女性,时尚配饰,56.47,8,22.588,474.348,14:57,电子钱包,451.76,22.588,7.3,2019-03-09,9,3,2019,14,21.9588,96.0891
668-90-8900,A,仰光,非会员,女性,生活家居,93.69,7,32.7915,688.6215,18:44,信用卡,655.83,32.7915,4.5,2019-03-10,10,3,2019,18,16.8661,96.1951
870-54-3162,A,仰光,非会员,女性,运动与旅行,32.25,5,8.0625,169.3125,13:26,现金,161.25,8.0625,9.0,2019-01-27,27,1,2019,13,16.8661,96.1951
189-08-9157,C,内比都,非会员,女性,时尚配饰,31.73,9,14.2785,299.8485,16:17,信用卡,285.57,14.2785,5.9,2019-01-08,8,1,2019,16,19.7633,96.0785
663-86-9076,C,内比都,会员,女性,饮食,68.54,8,27.416,575.736,15:57,电子钱包,548.32,27.416,8.5,2019-01-08,8,1,2019,15,19.7633,96.0785
549-84-7482,B,曼德勒,非会员,女性,运动与旅行,90.28,9,40.626,853.1460000000001,11:15,电子钱包,812.52,40.626,7.2,2019-02-08,8,2,2019,11,21.9588,96.0891
191-10-6171,B,曼德勒,非会员,女性,时尚配饰,39.62,7,13.867,291.207,13:18,现金,277.34,13.867,7.5,2019-01-25,25,1,2019,13,21.9588,96.0891
802-70-5316,A,仰光,会员,女性,运动与旅行,92.13,6,27.639,580.419,20:34,现金,552.78,27.639,8.3,2019-03-06,6,3,2019,20,16.8661,96.1951
695-51-0018,B,曼德勒,非会员,女性,运动与旅行,34.84,4,6.968,146.328,18:36,现金,139.36,6.968,7.4,2019-02-10,10,2,2019,18,21.9588,96.0891
590-83-4591,B,曼德勒,会员,男性,电子配件,87.45,6,26.235,550.935,14:40,信用卡,524.7,26.235,8.8,2019-02-17,17,2,2019,14,21.9588,96.0891
483-71-1164,C,内比都,非会员,女性,健康与美容,81.3,6,24.39,512.19,16:43,电子钱包,487.8,24.39,5.3,2019-03-08,8,3,2019,16,19.7633,96.0785
597-78-7908,C,内比都,非会员,男性,时尚配饰,90.22,3,13.533,284.193,19:39,现金,270.66,13.533,6.2,2019-02-18,18,2,2019,19,19.7633,96.0785
700-81-1757,A,仰光,非会员,女性,电子配件,26.31,5,6.5775,138.1275,20:59,信用卡,131.55,6.5775,8.8,2019-01-18,18,1,2019,20,16.8661,96.1951
354-39-5160,A,仰光,会员,女性,生活家居,34.42,6,10.325999999999999,216.84599999999998,15:39,现金,206.52,10.325999999999999,9.8,2019-02-18,18,2,2019,15,16.8661,96.1951
241-72-9525,B,曼德勒,非会员,男性,运动与旅行,51.91,10,25.955,545.055,12:21,现金,519.1,25.955,8.2,2019-02-16,16,2,2019,12,21.9588,96.0891
575-30-8091,A,仰光,非会员,男性,运动与旅行,72.5,8,29.0,609.0,19:25,电子钱包,580.0,29.0,9.2,2019-03-16,16,3,2019,19,16.8661,96.1951
731-81-9469,C,内比都,会员,女性,运动与旅行,89.8,10,44.9,942.9,13:00,信用卡,898.0,44.9,5.4,2019-01-23,23,1,2019,13,19.7633,96.0785
280-17-4359,C,内比都,会员,男性,健康与美容,90.5,10,45.25,950.25,13:48,现金,905.0,45.25,8.1,2019-01-25,25,1,2019,13,19.7633,96.0785
338-65-2210,C,内比都,会员,女性,健康与美容,68.6,10,34.3,720.3,19:57,现金,686.0,34.3,9.1,2019-02-05,5,2,2019,19,19.7633,96.0785
488-25-4221,C,内比都,会员,女性,饮食,30.41,1,1.5205,31.9305,10:36,信用卡,30.41,1.5205,8.4,2019-02-22,22,2,2019,10,19.7633,96.0785
239-10-7476,A,仰光,非会员,女性,生活家居,77.95,6,23.385,491.085,16:37,电子钱包,467.7,23.385,8.0,2019-01-21,21,1,2019,16,16.8661,96.1951
458-41-1477,C,内比都,非会员,女性,健康与美容,46.26,6,13.878,291.438,17:11,信用卡,277.56,13.878,9.5,2019-03-08,8,3,2019,17,19.7633,96.0785
685-64-1609,A,仰光,会员,女性,时尚配饰,30.14,10,15.07,316.47,12:28,电子钱包,301.4,15.07,9.2,2019-02-10,10,2,2019,12,16.8661,96.1951
568-90-5112,C,内比都,非会员,男性,健康与美容,66.14,4,13.228,277.788,12:46,信用卡,264.56,13.228,5.6,2019-03-19,19,3,2019,12,19.7633,96.0785
262-47-2794,B,曼德勒,会员,男性,生活家居,71.86,8,28.744,603.624,15:07,信用卡,574.88,28.744,6.2,2019-03-06,6,3,2019,15,21.9588,96.0891
238-49-0436,A,仰光,非会员,男性,健康与美容,32.46,8,12.984000000000002,272.664,13:48,信用卡,259.68,12.984000000000002,4.9,2019-03-27,27,3,2019,13,16.8661,96.1951
608-96-3517,B,曼德勒,会员,女性,时尚配饰,91.54,4,18.308,384.468,19:20,信用卡,366.16,18.308,4.8,2019-03-23,23,3,2019,19,21.9588,96.0891
584-86-7256,C,内比都,会员,男性,运动与旅行,34.56,7,12.095999999999998,254.016,16:07,信用卡,241.92,12.095999999999998,7.3,2019-03-11,11,3,2019,16,19.7633,96.0785
746-94-0204,A,仰光,非会员,男性,时尚配饰,83.24,9,37.458,786.618,11:56,信用卡,749.16,37.458,7.4,2019-01-29,29,1,2019,11,16.8661,96.1951
214-17-6927,C,内比都,非会员,女性,饮食,16.48,6,4.944,103.824,18:23,电子钱包,98.88,4.944,9.9,2019-02-07,7,2,2019,18,19.7633,96.0785
